frame,color,n_inrange,reason
3,blue,0,COLOR_MISS
4,blue,0,COLOR_MISS
8,red,WB,TOO_SMALL
13,red,WB,TOO_SMALL
14,red,WB,TOO_SMALL
125,yellow,WB,HIT_BUT_BEST_WRONG
125,blue,109140,TOO_SMALL
126,yellow,WB,HIT_BUT_BEST_WRONG
126,blue,102255,TOO_SMALL
127,blue,117810,TOO_SMALL
128,blue,106845,TOO_SMALL
129,yellow,WB,HIT_BUT_BEST_WRONG
129,blue,114750,TOO_SMALL
130,yellow,WB,HIT_BUT_BEST_WRONG
130,blue,112710,TOO_SMALL
131,blue,128265,TOO_SMALL
132,blue,125205,TOO_SMALL
133,blue,132855,TOO_SMALL
134,blue,133365,TOO_SMALL
135,blue,152490,TOO_SMALL
136,blue,151215,TOO_SMALL
137,blue,155805,TOO_SMALL
138,blue,163710,TOO_SMALL
139,blue,199665,TOO_SMALL
140,blue,197625,TOO_SMALL
141,red,WB,SHAPE_MISS
141,blue,228225,TOO_SMALL
142,red,WB,SHAPE_MISS
142,blue,230265,TOO_SMALL
143,blue,245820,TOO_SMALL
144,red,1038615,SHAPE_MISS
144,blue,246840,TOO_SMALL
145,blue,294015,TOO_SMALL
146,blue,294015,TOO_SMALL
147,red,WB,TOO_SMALL
147,blue,342465,SHAPE_MISS
148,red,WB,TOO_SMALL
148,blue,353685,SHAPE_MISS
149,red,WB,HIT_BUT_BEST_WRONG
149,blue,357765,SHAPE_MISS
150,red,WB,HIT_BUT_BEST_WRONG
150,blue,362610,SHAPE_MISS
151,red,WB,HIT_BUT_BEST_WRONG
151,blue,388620,SHAPE_MISS
152,blue,389895,SHAPE_MISS
153,blue,467160,SHAPE_MISS
154,blue,472515,SHAPE_MISS
155,blue,506940,SHAPE_MISS
156,blue,507450,SHAPE_MISS
157,blue,554625,SHAPE_MISS
158,blue,546210,SHAPE_MISS
159,blue,WB,SHAPE_MISS
160,blue,WB,SHAPE_MISS
161,blue,WB,SHAPE_MISS
162,blue,WB,SHAPE_MISS
163,blue,WB,SHAPE_MISS
164,blue,WB,SHAPE_MISS
165,blue,WB,SHAPE_MISS
166,blue,WB,SHAPE_MISS
167,yellow,WB,HIT_BUT_BEST_WRONG
167,blue,WB,SHAPE_MISS
168,yellow,WB,HIT_BUT_BEST_WRONG
168,blue,WB,SHAPE_MISS
169,red,WB,HIT_BUT_BEST_WRONG
169,blue,WB,SHAPE_MISS
170,red,WB,HIT_BUT_BEST_WRONG
